ITS2 type profile UID		239953	239844	239843	239855	240211	240212
Clade		A	A	A	A	B	B
Majority ITS2 sequence		A3	A3	A3	A3	B2	B2
Associated species		None	None	None	None	None	None
ITS2 profile abundance local		19	15	1	1	15	1
ITS2 profile abundance DB		20	224	51	2	15	1
ITS2 type profile		A3-A3ac-A3ae	A3-A3ac-A3ah-A3m-A3ae-A3ay	A3-A3ah-A3ac-A3m-A3ae	A3-A3ac-A3ah	B2-B2aa-B2z-B2ab	B2-B2aa-B2z
151266	A1	31139.0	0	0	0	217.0	0
151270	A5	35615.0	0	0	0	360.0	0
151269	A4	37806.0	0	0	0	230.0	0
151273	A8	21105.0	0	0	0	0	0
151288	B11	26931.0	0	0	0	0	0
151275	A10	80907.0	0	0	0	249.0	0
151301	C12	24949.0	0	0	0	0	0
151293	C4	2024.0	0	0	0	0	0
151287	B10	16374.0	0	0	0	0	0
151277	A12	103374.0	0	0	0	0	184.0
151280	B3	24805.0	0	0	0	0	0
151281	B4	27631.0	0	0	0	0	0
151276	A11	121279.0	0	0	0	236.0	0
151268	A3	22942.0	0	0	0	0	0
151274	A9	121280.0	0	0	0	0	0
151299	C10	20138.0	0	0	0	0	0
151290	C1	14942.0	0	0	0	141.0	0
151282	B5	101547.0	0	0	0	1799.0	0
151300	C11	27027.0	0	0	0	1057.0	0
151297	C8	0	6671.0	0	0	0	0
151267	A2	0	28775.0	0	0	0	0
151284	B7	0	24561.0	0	0	0	0
151289	B12	0	31105.0	0	0	0	0
151279	B2	0	31979.0	0	0	0	0
151295	C6	0	19693.0	0	0	0	0
151298	C9	0	27857.0	0	0	0	0
151271	A6	0	12393.0	0	0	0	0
151278	B1	0	2071.0	0	0	0	0
151296	C7	0	23043.0	0	0	173.0	0
151286	B9	0	20136.0	0	0	274.0	0
151285	B8	0	8654.0	0	0	163.0	0
151291	C2	0	18471.0	0	0	586.0	0
151292	C3	0	14077.0	0	0	681.0	0
151294	C5	0	15320.0	0	0	763.0	0
151272	A7	0	0	25056.0	0	349.0	0
151283	B6	0	0	0	730.0	0	0
Sequence accession / SymPortal UID		22385-364589-903836	22385-364589-36733-363106-903836-363568	22385-364589-903836-363106-36733	22385-364589-36733	21914-1157385-54872-2638458	21914-1157385-54872
Average defining sequence proportions and [stdev]		0.799[0.009]-0.175[0.011]-0.026[0.009]	0.850[0.012]-0.057[0.016]-0.043[0.009]-0.023[0.003]-0.015[0.005]-0.012[0.002]	0.795[nan]-0.183[nan]-0.010[nan]-0.008[nan]-0.005[nan]	0.868[nan]-0.090[nan]-0.041[nan]	0.673[0.043]-0.207[0.042]-0.069[0.024]-0.050[0.017]	0.717[nan]-0.207[nan]-0.076[nan]
