,input,filtered,denoised,merged,tabled,nonchim
A1,46971,44462,44392,44242,44230,44230
A10,25343,23991,23882,23811,23811,23811
A11,27399,26007,25982,25976,25976,25976
A12,45822,44152,44099,43973,43973,43973
A2,99391,94837,94653,94353,94353,94205
A3,77568,73176,73129,73019,73019,73019
A4,23219,22069,22048,22026,22026,22026
A5,82625,76845,76349,73826,73282,72033
A6,44720,41898,41807,41495,41495,41495
A7,21017,19892,19813,19742,19742,19742
A8,50868,48504,48363,48090,48049,48044
A9,33630,32048,31998,31891,31859,31859
B1,93788,90475,90409,90155,90146,90146
B10,26111,24910,24846,24708,24708,24683
B11,36049,34782,34765,34710,34710,34666
B12,51803,50069,49983,49874,49874,49845
B2,79689,76155,76112,75821,75799,75770
B3,36469,34374,34349,34289,34289,34289
B4,93851,90460,90421,90201,90201,90201
B5,24767,23566,23506,23364,23364,23328
B6,56820,53651,53600,53342,53342,53342
B7,114867,110661,110347,110242,110242,110229
B8,16088,14928,14822,14767,14740,14690
B9,31587,30117,30045,29943,29943,29901
C1,29051,27927,27900,27851,27851,27851
C10,75311,73356,73247,72971,72971,72971
C11,24572,23594,23583,23571,23571,23571
C12,21209,20343,20305,20214,20185,20185
C2,26776,25590,25551,25491,25491,25491
C3,10752,10144,10095,10026,10026,10026
C4,43599,42054,42021,41807,41807,41723
C5,26544,25161,25122,25002,25002,25002
C6,76574,73293,73263,72994,72994,72994
C7,38503,37175,37138,36876,36876,36876
C8,31488,30216,30071,29692,29692,29692
C9,44886,43609,43583,43543,43525,43525
G5,1918,1796,1792,1792,1792,1792
G6,169,162,153,153,153,153
